Comment,Designator,Footprint,LCSC
SC32S-7PF20PPM,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,
1k,R5,R_0805_2012Metric,
1k,R4,R_0805_2012Metric,
1k,R3,R_0805_2012Metric,
DMP610DL-7,Q1,SOT-23,
1u,C6,C_0402_1005Metric,
3.9p,C5,C_0201_0603Metric,
10u,C4,C_0805_2012Metric,
3.9p,C3,C_0201_0603Metric,
100n,C2,C_0402_1005Metric,
1u,C1,C_0402_1005Metric,
LED_RGBA,D1,LED_Lumex_SML-LX0404SIUPGUSB,
MDBT50Q-1MV2,U3,Raytac_MDBT50Q,
SiP32431DR3,U1,SOT-363_SC-70-6,
BME680,U2,Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering,
Battery_Cell,BT1,BatteryHolder_Multicomp_BC-2001_1x2032,
